name,hash,x,y,z
classic bollywood,1bd9f975,1.5112,167.4668,-13.8959
compositional ambient,a655f2a5,-120.4753,213.5627,0.5723
gym phonk,eed1d147,102.1722,-183.6207,18.3338
north carolina hip hop,cb0bcd50,161.2863,-19.412,-7.5968
dark r&b,c6622764,18.1135,-70.2923,6.5496
country dawn,1a95149d,-49.9349,15.0038,-0.1912
symphonic rock,b8a91bac,-123.0875,68.102,-15.8403
tennessee hip hop,adbe5bf1,184.1558,-154.8392,10.4476
instrumental lullaby,3de0d8bb,98.8697,208.8891,31.051
pittsburgh rap,ff2078aa,125.6376,-10.672,-1.1151
thrash metal,f2bf5b07,-198.0775,-5.0296,-9.2391
afropop,8a78fd32,107.9076,29.3682,-17.843
screamo,4d88db7d,-168.0355,-95.288,2.0133
canadian rock,49aaa4a0,-114.5093,-102.4635,1.0924
kindermusik,098eb972,171.5275,87.7542,-11.5706
melodic drill,dd2e1d3d,227.0032,-48.2323,-4.7617
nyc rap,c70af056,145.9749,31.1394,4.2707
modern blues rock,a9602913,-85.2317,14.98,-2.7455
rock nacional brasileiro,a50e62d1,-5.649,-52.635,-9.8121
philly rap,ba60028b,135.1177,-5.8936,5.2338
afrofuturism,f4dc3772,52.7858,-5.2957,5.5733
healing hz,416f77ed,-270.1981,204.2214,0.011
cumbia pop,d9506b50,145.717,-89.5525,-4.0155
rap latina,e09cc215,203.5881,-124.4272,1.5695
reggae,0615591f,234.8654,-60.8196,-25.8864
madchester,566f64e8,-85.2752,-112.3675,-10.3605
spanish pop rock,cfb18633,-21.6056,-102.3082,19.8322
k-rap,659f7fd8,137.0854,-91.9527,-1.0657
dutch hip hop,8f3395f1,177.3426,-80.2395,9.5727
trip hop,333d6e48,81.5381,-148.7772,20.6625
la indie,7dfd3e1c,-76.517,-85.1448,-9.4974
alternative dance,3cad09ee,37.4649,-186.7704,-38.0326
v-pop,9833744f,8.926,8.1335,-5.2107
rap rock,fd0036ee,41.2017,-139.0275,-6.785
funk consciente,0a66d351,263.5538,5.711,-8.3728
indie anthem-folk,a33985d0,-58.8338,85.0567,10.885
musica chihuahuense,a768faeb,70.7655,-6.2967,-7.1845
chill house,f00df8df,24.9761,-75.2221,24.0933
australian hip hop,d8e2063d,133.9731,-114.574,-4.5328
